CityName,YY,MM,TempValue
屏東縣,2015,1,19.372
屏東縣,2015,2,20.3565
屏東縣,2015,3,23.216
屏東縣,2015,4,25.5348
屏東縣,2015,5,27.732
屏東縣,2015,6,29.9349
屏東縣,2015,7,28.7845
屏東縣,2015,8,28.0965
屏東縣,2015,9,28.0866
屏東縣,2015,10,27.0019
屏東縣,2015,11,25.5845
屏東縣,2015,12,22.0666
屏東縣,2016,1,19.3849
屏東縣,2016,2,19.579
屏東縣,2016,3,21.4334
屏東縣,2016,4,26.2987
屏東縣,2016,5,28.0128
屏東縣,2016,6,28.9036
屏東縣,2016,7,29.3321
屏東縣,2016,8,28.5681
屏東縣,2016,9,27.8307
屏東縣,2016,10,28.0937
屏東縣,2016,11,25.5188
屏東縣,2016,12,22.8318
屏東縣,2017,1,21.6683
屏東縣,2017,2,21.1412
屏東縣,2017,3,23.3176
屏東縣,2017,4,25.1823
屏東縣,2017,5,27.8967
屏東縣,2017,6,29.3432
屏東縣,2017,7,30.0948
屏東縣,2017,8,29.3534
屏東縣,2017,9,29.4907
屏東縣,2017,10,27.6385
屏東縣,2017,11,25.1049
屏東縣,2017,12,21.1257
